[04-Mar-2016 01:28:31 UTC] PHP Notice:  Undefined variable: img_constitucion_cdmx in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/page-participa.php on line 9
[04-Mar-2016 01:28:39 UTC] PHP Notice:  Undefined variable: img_constitucion_cdmx in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/page-participa.php on line 9
[04-Mar-2016 01:30:09 UTC] PHP Notice:  Undefined variable: img_constitucion_cdmx in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/page-participa.php on line 9
[04-Mar-2016 01:30:39 UTC] PHP Notice:  Undefined variable: img_constitucion_cdmx in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/page-participa.php on line 9
[04-Mar-2016 01:31:28 UTC] PHP Notice:  Undefined variable: img_constitucion_cdmx in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/page-participa.php on line 9
[04-Mar-2016 23:07:02 UTC] PHP Parse error:  syntax error, unexpected '$apellidos' (T_VARIABLE), expecting ',' or ';' in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/templates/htmlPdfCertificate.php on line 65
[04-Mar-2016 23:10:28 UTC] PHP Notice:  Undefined variable: result in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/templates/htmlPdfCertificate.php on line 69
[04-Mar-2016 23:10:28 UTC] PHP Notice:  Trying to get property of non-object in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/templates/htmlPdfCertificate.php on line 69
[04-Mar-2016 23:10:28 UTC] PHP Fatal error:  Call to a member function format() on a non-object in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/templates/htmlPdfCertificate.php on line 70
[04-Mar-2016 23:11:15 UTC] PHP Warning:  DateTime::createFromFormat() expects at least 2 parameters, 1 given in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/templates/htmlPdfCertificate.php on line 69
[04-Mar-2016 23:11:15 UTC] PHP Fatal error:  Call to a member function format() on a non-object in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/templates/htmlPdfCertificate.php on line 70
[04-Mar-2016 23:11:33 UTC] PHP Fatal error:  Call to undefined function now() in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/templates/htmlPdfCertificate.php on line 69
[04-Mar-2016 23:11:51 UTC] PHP Fatal error:  Call to a member function format() on a non-object in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/templates/htmlPdfCertificate.php on line 70
[04-Mar-2016 23:12:08 UTC] PHP Fatal error:  Call to a member function format() on a non-object in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/templates/htmlPdfCertificate.php on line 70
[04-Mar-2016 23:12:15 UTC] PHP Notice:  Array to string conversion in /Users/micho/Documents/cuervo/sitios/wp-constitucion/wp-content/themes/constitucion/templates/htmlPdfCertificate.php on line 71
